,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
8436,1,0,3.9,187,0,62,294,600.0,5047
8438,1,0,4.0,137,45,62,1609,250.0,5047
8440,1,0,3.9,179,0,62,1461,250.0,5047
8442,1,0,4.3,3605,43,62,1635,400.0,5047
8444,1,0,4.1,1959,43,62,1110,600.0,5047
8446,1,0,3.9,330,38,20,604,600.0,5047
8447,1,0,3.9,331,0,13,1195,200.0,5047
8448,1,0,4.1,301,30,62,1569,200.0,89
8449,1,0,4.0,334,28,62,1589,300.0,2709
8450,1,0,3.9,224,38,72,1196,250.0,5047
8451,1,0,3.8,98,38,20,1156,400.0,5047
8452,1,0,4.1,840,22,62,1595,300.0,5047
8453,1,0,3.6,519,28,20,1589,400.0,126
8457,1,0,3.9,62,28,62,324,300.0,5047
8459,1,0,4.0,293,43,45,1644,250.0,5047
8460,1,0,2.9,177,0,62,1196,300.0,5047
8461,1,1,4.1,1242,42,20,1156,600.0,5047
8463,1,0,3.8,99,0,20,1589,350.0,2722
8465,1,0,3.9,56,0,62,235,300.0,5047
8466,1,0,4.2,1076,42,69,1121,400.0,5047
8467,1,0,3.9,236,22,62,1381,400.0,5047
8468,1,0,4.0,1986,28,20,294,800.0,5047
8470,1,0,3.6,45,28,62,311,300.0,5047
8471,1,0,3.4,137,0,72,282,500.0,5047
8473,1,0,4.3,385,0,72,1392,500.0,5047
8474,1,0,3.9,70,3,30,767,350.0,5047
8475,1,0,3.6,621,22,62,322,400.0,5047
8476,1,0,3.9,52,0,62,1589,300.0,5047
8477,1,0,4.5,334,42,33,779,500.0,5047
8479,1,0,4.3,475,0,72,1465,600.0,5047
8481,1,0,4.4,1286,22,62,1156,400.0,5047
8482,1,0,4.0,196,41,62,1156,500.0,5047
8484,1,0,3.8,53,44,62,917,350.0,5047
8485,1,0,2.9,127,0,62,565,300.0,5047
8487,1,0,4.0,113,0,62,591,400.0,832
8488,1,0,3.8,509,22,62,322,500.0,5047
8489,1,0,3.9,420,0,20,112,800.0,5047
8490,1,1,4.1,2724,0,20,296,800.0,5047
8492,1,1,4.0,202,28,62,1476,700.0,5047
8493,1,0,3.8,101,81,29,1190,500.0,5047
8495,1,0,3.9,160,41,29,271,650.0,5047
8496,1,0,4.0,253,30,30,773,300.0,5047
8497,1,0,4.0,64,22,20,1591,300.0,3800
8498,1,0,2.3,298,7,62,286,450.0,5047
8499,1,0,3.8,120,22,20,301,600.0,5047
8500,1,0,3.6,382,42,20,1037,600.0,5047
8501,1,0,4.3,650,43,62,1547,250.0,5047
8502,1,0,2.7,159,28,62,1465,750.0,5047
8504,1,0,3.9,438,0,20,197,650.0,5047
8505,1,0,3.9,467,0,20,112,550.0,5047
8508,1,0,4.0,457,43,29,932,500.0,5047
8510,1,0,3.9,210,30,11,778,400.0,5047
8511,1,0,4.0,79,30,62,1079,100.0,5047
8512,1,0,4.1,164,30,62,256,400.0,5047
8513,1,0,3.7,111,3,20,43,800.0,5047
8514,1,0,3.2,136,3,20,1209,500.0,5047
8515,1,0,3.0,102,0,20,1589,600.0,5047
8516,1,0,3.9,97,30,62,1547,200.0,5047
8517,1,0,3.8,151,22,70,1121,400.0,5047
8518,1,0,3.6,218,0,20,286,600.0,5047
8519,1,0,4.6,406,3,20,0,1000.0,5047
8520,1,0,3.9,148,22,69,1121,200.0,5047
8522,1,0,3.8,139,42,62,1591,200.0,3248
8523,1,0,4.0,750,24,62,1156,250.0,5047
8524,1,1,3.9,487,0,13,710,700.0,5047
8525,1,0,3.9,357,0,62,1196,400.0,5047
8530,1,0,4.2,702,44,30,182,450.0,5047
8531,1,0,4.1,888,40,13,395,800.0,5047
8532,1,0,4.1,414,44,12,1026,300.0,5047
8535,1,0,4.1,230,28,0,181,500.0,5047
8536,1,0,3.1,53,38,62,817,100.0,5047
8537,1,0,4.3,277,44,62,1156,450.0,5047
8538,1,0,4.0,260,28,62,1156,300.0,5047
8539,1,0,3.9,50,22,62,197,450.0,5047
8541,1,0,4.1,1022,22,30,773,500.0,5047
8542,1,0,3.3,394,44,62,1156,400.0,5047
8543,1,0,4.0,166,30,62,1589,400.0,687
8548,1,0,4.0,457,38,20,1156,550.0,5047
8549,1,0,4.1,93,22,20,989,700.0,5047
8550,1,0,4.2,450,30,13,362,400.0,5047
8551,1,0,3.9,45,22,30,211,400.0,5047
8554,1,0,4.0,96,3,29,1113,600.0,5047
8555,1,0,3.1,266,22,20,517,550.0,5047
8556,1,0,3.8,59,22,62,1547,200.0,155
8559,1,0,3.9,163,22,62,1597,300.0,5047
8560,1,0,3.2,68,22,20,1619,400.0,5047
8561,1,0,4.6,117,38,30,773,300.0,5047
8563,1,0,4.0,326,22,29,1637,200.0,5047
8564,1,0,4.1,313,38,72,933,650.0,5047
8569,1,0,3.8,101,28,62,1636,200.0,5047
8571,1,0,4.4,351,43,13,493,500.0,5047
8572,1,0,3.7,327,0,72,1185,500.0,5047
8575,1,0,3.9,498,43,62,1638,300.0,5047
8578,1,0,4.0,84,0,62,856,400.0,3840
8579,1,1,4.2,174,30,20,924,800.0,5047
8580,1,0,4.1,57,38,12,1023,200.0,5047
8585,1,0,4.3,189,41,0,181,400.0,5047
8587,1,1,4.4,197,42,13,498,800.0,5047
8592,1,0,3.9,101,3,30,956,400.0,5047
8593,1,1,4.1,1541,0,20,1054,800.0,5047
8594,1,0,3.6,192,0,29,917,450.0,5047
8595,1,0,3.9,73,3,72,1578,400.0,5047
8597,1,0,3.9,50,30,62,1587,200.0,2680
8598,1,0,4.3,245,42,62,1668,600.0,5047
8599,1,0,4.0,136,22,20,625,750.0,5047
8600,1,0,3.9,170,0,62,1063,300.0,5047
8601,1,0,4.2,213,28,30,959,400.0,5047
8602,1,0,3.9,49,3,13,332,600.0,5047
8603,1,0,3.9,106,44,29,918,600.0,5047
8604,1,0,3.9,85,28,62,1490,300.0,5047
8606,1,0,4.1,205,42,62,817,250.0,5047
8609,1,0,3.8,60,0,62,203,300.0,5047
8611,1,1,4.5,799,0,20,716,800.0,5047
8612,1,0,3.2,64,0,62,1268,250.0,5047
8615,1,0,3.9,670,0,20,1156,500.0,5047
8616,1,0,4.1,119,22,62,1578,200.0,5047
8617,1,0,3.7,130,38,21,624,1200.0,5047
8619,1,0,4.1,189,41,30,767,300.0,5047
8620,1,0,3.8,47,28,69,1121,100.0,5047
8623,1,0,4.1,55,42,9,210,400.0,5047
8624,1,0,3.7,94,22,62,1181,400.0,5047
8627,1,0,3.1,89,0,62,1374,350.0,5047
8629,1,0,3.5,221,0,70,1119,400.0,5047
8631,1,1,3.9,74,0,20,244,700.0,5047
8633,1,0,3.7,83,22,62,265,350.0,5047
8634,1,0,4.1,137,42,13,452,1200.0,5047
8635,1,1,4.2,541,42,26,1265,1000.0,5047
8638,1,0,3.6,95,38,62,1335,300.0,5047
8640,1,0,4.6,4650,44,46,32,1500.0,5047
8641,1,0,3.2,49,42,62,120,300.0,5047
8642,1,0,4.1,50,28,13,502,600.0,5047
8643,1,0,3.0,122,3,20,609,500.0,5047
8644,1,0,3.9,85,44,62,1156,400.0,5047
8648,1,0,4.2,174,43,13,332,600.0,5047
8649,1,1,4.1,218,42,20,1239,600.0,5047
8650,1,0,4.0,108,0,62,1156,300.0,5047
8652,1,0,3.6,144,22,62,1547,150.0,104
8656,1,0,3.8,281,30,20,283,800.0,5047
8657,1,0,3.8,151,30,30,773,350.0,5047
8659,1,0,3.7,58,42,62,1156,200.0,5047
8660,1,1,3.9,484,42,20,1427,700.0,5047
8661,1,0,3.9,106,22,62,1547,150.0,5047
8664,1,0,3.9,551,44,62,818,600.0,5047
8665,1,0,4.2,169,28,13,361,600.0,5047
8666,1,0,3.9,347,28,20,609,600.0,5047
8667,1,0,3.7,197,22,62,1571,400.0,2702
8669,1,0,2.8,261,22,20,1040,700.0,5047
8670,1,0,4.0,108,30,62,329,500.0,5047
8672,1,0,4.1,83,43,13,427,700.0,5047
8673,1,1,4.2,344,42,20,1156,500.0,5047
8677,0,0,4.0,72,43,62,1649,100.0,5047
8679,1,0,3.7,85,3,29,38,600.0,3885
8684,1,0,3.5,323,38,62,1077,500.0,5047
8685,1,0,3.8,337,0,20,65,800.0,5047
8687,1,0,2.8,151,44,20,1206,700.0,5047
8688,1,0,4.0,186,44,2,188,500.0,5047
8693,1,0,4.1,162,22,30,767,400.0,5047
8697,1,1,4.2,325,44,20,1205,800.0,5047
8699,1,0,4.2,289,3,62,6,400.0,5047
8700,1,0,4.4,98,37,29,1184,400.0,5047
8702,1,0,3.9,419,7,62,1474,800.0,5047
8704,1,0,4.0,777,43,20,1005,750.0,5047
8706,1,1,3.8,362,30,20,291,600.0,5047
8707,1,0,3.9,409,28,20,1196,500.0,5047
8708,1,0,3.8,190,22,62,1573,250.0,685
8714,1,0,4.1,1272,0,20,105,900.0,5047
8716,1,0,4.1,61,22,45,817,200.0,5047
8725,1,0,3.7,479,0,20,604,850.0,5047
8728,1,0,4.3,287,41,29,1156,400.0,3997
8730,1,0,4.0,41,3,41,442,400.0,5047
8731,1,0,4.2,182,22,9,215,400.0,5047
8732,1,0,3.6,96,38,62,1039,300.0,5047
8735,1,0,3.7,829,22,20,1079,850.0,5047
8738,1,0,3.9,69,42,12,1023,150.0,5047
8739,1,0,4.0,985,22,20,238,800.0,5047
8740,1,1,3.5,59,22,20,1279,700.0,5047
8742,1,0,3.4,277,0,66,1455,250.0,5047
8745,1,0,4.0,144,0,29,1465,750.0,5047
8749,1,0,4.0,571,38,20,208,600.0,5047
8752,1,0,2.9,116,3,20,521,1000.0,5047
8756,1,0,4.0,59,41,62,1416,300.0,5047
8760,1,0,4.1,60,39,13,451,600.0,5047
8761,1,0,2.8,227,22,62,266,500.0,5047
8762,1,0,4.1,799,30,13,437,400.0,5047
8766,1,0,3.5,735,0,20,47,600.0,5047
8773,1,0,4.1,270,38,62,132,500.0,5047
8775,1,0,2.8,137,38,62,1156,500.0,5047
8776,1,0,4.0,74,38,0,181,500.0,5047
8778,1,0,3.8,214,44,20,1354,700.0,5047
8782,1,0,3.9,110,42,30,950,200.0,5047
8783,1,0,3.9,237,42,62,1551,200.0,5047
8785,1,0,3.6,41,0,13,401,600.0,5047
8786,1,0,3.9,95,0,72,1056,400.0,5047
8788,1,0,3.6,90,44,62,826,500.0,5047
8789,1,0,3.8,254,0,20,282,800.0,5047
8790,1,0,3.9,92,30,62,230,200.0,5047
8791,1,0,3.9,42,28,30,1121,250.0,5047
8792,1,0,4.0,138,42,12,1025,150.0,5047
8794,1,0,3.6,59,22,29,1339,300.0,5047
8798,1,0,3.9,152,44,29,1296,500.0,249
8799,1,0,4.2,600,44,30,773,900.0,5047
8800,1,1,3.9,601,22,20,1092,1000.0,5047
8802,1,1,4.1,454,28,20,695,700.0,5047
8803,1,0,4.0,199,0,62,1156,300.0,5047
8804,1,0,3.9,169,0,72,285,450.0,5047
8805,1,0,3.7,483,41,20,761,800.0,5047
8807,1,0,3.8,1071,0,20,235,500.0,5047
8808,1,0,4.1,66,43,20,1090,1000.0,5047
8809,1,1,4.1,732,22,13,405,1200.0,5047
8810,1,0,4.3,480,42,13,512,450.0,5047
8812,1,0,4.0,128,0,30,949,230.0,5047
8816,1,0,3.8,376,0,62,1204,500.0,5047
8818,1,0,3.7,42,28,62,1196,500.0,5047
8819,1,0,4.0,76,40,62,1602,300.0,5047
8821,1,0,4.1,778,38,13,383,700.0,193
8824,1,0,3.8,473,42,20,1597,500.0,145
8826,1,0,4.2,78,22,20,268,400.0,5047
8829,1,0,4.1,361,42,72,264,400.0,5047
8840,1,0,3.7,62,22,62,64,500.0,5047
8843,1,0,3.9,296,41,72,1156,400.0,3225
8844,1,0,4.2,556,42,62,1672,400.0,5047
8845,1,0,3.9,138,0,62,1327,300.0,5047
8846,1,0,3.8,208,0,19,366,650.0,5047
8847,1,0,4.2,251,30,30,773,300.0,5047
8849,1,0,2.8,138,0,62,1451,300.0,5047
8850,1,0,2.9,42,0,62,1432,250.0,95
8852,1,0,4.0,229,42,30,956,500.0,5047
8853,1,0,3.6,82,38,62,1505,400.0,5047
8859,1,0,3.9,204,22,1,657,600.0,5047
8862,1,0,4.0,66,28,9,217,600.0,5047
8864,1,0,4.0,410,42,62,84,300.0,5047
8870,1,0,4.0,63,42,62,228,150.0,2190
8874,1,0,3.9,44,22,13,432,300.0,5047
8875,1,0,4.0,89,28,0,181,500.0,5047
8876,1,0,4.1,192,30,30,789,300.0,5047
8878,1,0,3.1,177,3,62,42,250.0,5047
8881,1,0,3.9,124,0,62,1196,400.0,5047
8882,1,0,4.4,7210,42,20,304,600.0,5047
8883,1,0,4.0,61,41,16,462,700.0,3277
8885,1,0,3.9,45,43,62,621,550.0,5047
8887,1,0,3.9,60,22,62,1336,400.0,5047
8888,1,1,4.2,468,42,13,389,800.0,5047
8889,1,1,3.9,885,28,20,1156,900.0,5047
8893,1,0,4.2,465,0,62,1179,300.0,5047
8894,1,0,2.9,95,0,29,1432,700.0,5047
8896,1,1,4.1,719,22,13,418,950.0,5047
8897,1,0,4.2,249,0,32,210,500.0,5047
8898,1,0,3.8,41,44,62,235,200.0,5047
8900,1,0,4.5,181,22,20,1076,1200.0,5047
8901,1,1,4.5,1874,0,13,394,900.0,5047
8902,1,0,4.0,76,28,62,1023,150.0,5047
8903,1,1,4.1,1336,22,20,1375,800.0,5047
8906,1,0,3.0,96,0,62,1196,300.0,5047
8916,1,1,3.4,409,22,20,1375,750.0,5047
8917,1,0,3.6,64,7,20,591,400.0,5047
8919,1,0,3.7,91,22,0,181,350.0,5047
8921,1,0,4.2,969,42,62,1547,200.0,112
8923,1,0,4.4,290,3,12,217,400.0,26
8926,1,1,4.2,1430,28,20,64,800.0,5047
8927,1,0,3.8,613,0,13,472,600.0,5047
8929,1,0,3.9,356,22,20,1196,450.0,5047
8931,1,0,4.0,204,0,14,350,500.0,3980
8932,1,0,4.0,957,30,62,1356,500.0,5047
8933,1,0,3.9,321,43,20,43,500.0,5047
8934,1,0,3.7,178,0,62,1196,400.0,5047
8935,0,0,4.3,315,0,51,1059,300.0,5047
8939,1,1,4.1,971,30,54,1313,1500.0,5047
8941,1,0,3.7,141,22,20,54,500.0,5047
8943,1,0,3.9,368,22,20,50,550.0,5047
8944,1,0,3.9,116,22,20,303,900.0,5047
8945,1,0,3.9,255,0,20,50,500.0,5047
8949,1,1,4.0,1509,40,13,383,900.0,5047
8950,1,0,4.1,598,3,62,1156,400.0,3856
8954,1,0,3.9,823,42,20,558,550.0,5047
8955,1,0,3.9,153,28,41,427,400.0,5047
8957,1,1,4.0,1014,28,58,882,1300.0,5047
8961,1,0,4.1,205,30,30,956,300.0,5047
8962,1,0,3.8,122,42,0,181,400.0,5047
8965,1,0,3.9,191,0,62,256,300.0,5047
8967,1,0,3.7,184,0,62,858,400.0,5047
8969,1,0,3.9,126,30,62,1589,400.0,109
8971,1,0,3.8,208,3,20,237,700.0,5047
8975,1,1,4.2,2709,40,13,404,1000.0,2991
8976,1,1,4.2,869,42,13,339,600.0,5047
8980,1,0,4.2,140,22,13,383,800.0,5047
8982,1,0,3.9,178,28,30,767,400.0,5047
8983,1,0,4.2,166,42,62,817,300.0,5047
8984,1,0,3.8,231,38,13,394,600.0,1495
8986,1,0,3.9,214,0,20,1240,600.0,5047
8989,1,0,4.3,278,22,62,1547,150.0,102
8993,1,0,3.9,374,38,20,266,750.0,5047
8995,1,0,3.7,91,38,20,1253,550.0,5047
9000,1,0,3.9,202,3,62,1196,250.0,5047
9004,1,0,3.9,92,28,62,1602,300.0,128
9009,1,0,4.1,1112,42,20,289,750.0,5047
9010,1,0,3.9,320,3,20,1196,650.0,5047
9011,1,0,3.9,1189,0,62,1196,500.0,5047
9014,1,0,3.9,247,30,13,406,400.0,5047
9017,1,0,3.7,53,41,13,473,450.0,5047
9020,1,0,3.7,195,0,62,1156,400.0,3826
9022,1,0,3.8,84,22,62,578,400.0,5047
9023,1,1,4.4,9041,41,22,1468,600.0,5047
9024,1,0,3.7,135,0,20,1196,500.0,5047
9025,1,0,2.6,208,28,20,602,650.0,87
9027,1,0,4.2,1059,42,13,394,800.0,3200
9030,1,0,4.3,336,42,20,555,800.0,5047
9031,1,0,3.9,459,22,62,262,600.0,5047
9033,1,0,4.1,1956,43,20,201,650.0,5047
9034,1,0,3.8,122,30,20,1088,700.0,5047
9035,1,0,3.0,57,30,62,1329,400.0,5047
9038,1,0,3.9,180,22,29,609,600.0,5047
9041,1,0,4.2,701,41,29,1181,450.0,5047
9043,1,0,3.7,70,43,12,224,250.0,5047
9047,1,1,4.1,364,30,20,1665,1200.0,5047
9048,1,1,4.1,1543,28,20,165,1000.0,5047
9050,1,0,4.0,100,44,30,175,150.0,5047
9060,1,0,4.2,166,41,13,427,700.0,5047
9062,1,0,3.7,434,41,62,1423,400.0,5047
9064,1,1,4.0,235,42,20,1141,800.0,5047
9065,1,0,2.8,62,0,20,1460,500.0,5047
9066,1,0,4.1,129,28,20,1485,800.0,5047
9071,1,0,3.8,94,3,41,674,1100.0,5047
9074,1,1,4.2,1168,41,57,883,1300.0,5047
9075,1,1,4.0,1229,41,13,332,700.0,5047
9080,1,1,4.1,1845,38,13,343,600.0,5047
9084,1,0,3.9,519,41,20,609,500.0,5047
9086,1,0,4.1,90,42,13,383,600.0,5047
9092,1,1,4.2,2192,28,60,10,1200.0,5047
9094,1,0,3.1,120,43,20,1196,500.0,5047
9095,1,0,3.6,218,22,62,252,400.0,5047
9097,1,0,3.7,59,22,13,443,600.0,5047
9099,1,1,4.9,2178,42,21,134,1500.0,5047
9101,1,0,3.3,292,22,20,208,600.0,5047
9102,1,0,3.8,48,45,62,1196,300.0,5047
9103,1,0,3.6,122,22,20,1558,550.0,5047
9104,1,0,4.1,240,28,30,791,500.0,5047
9105,1,0,3.9,914,28,4,1266,1000.0,5047
9108,1,1,3.5,551,3,20,1236,600.0,5047
9109,1,0,4.0,957,44,20,1669,500.0,5047
9110,0,1,4.0,165,0,4,878,1100.0,5047
9111,1,1,4.4,1796,41,20,1678,1000.0,5047
9112,1,0,4.1,99,0,62,537,300.0,5047
9114,1,0,4.0,827,0,20,1490,500.0,5047
9115,1,0,3.9,68,0,20,1165,1000.0,5047
9116,1,0,3.9,231,38,29,1106,400.0,5047
9119,1,1,4.2,1692,42,13,459,650.0,5047
9120,1,0,4.0,265,42,45,1677,300.0,5047
9122,1,0,3.9,121,38,62,1209,400.0,5047
9125,1,0,3.6,163,40,20,1196,500.0,5047
9127,1,0,4.5,2062,22,20,1626,1200.0,5047
9129,1,0,3.9,163,42,29,44,300.0,5047
9131,1,0,4.1,507,43,30,789,500.0,5047
9132,1,0,4.0,536,3,20,610,800.0,5047
9133,1,0,4.1,381,0,62,84,250.0,5047
9137,1,0,4.1,464,0,13,344,500.0,5047
9138,1,0,3.7,65,42,20,98,800.0,5047
9140,1,0,4.1,397,22,30,956,450.0,5047
9143,1,0,3.9,452,44,20,197,600.0,5047
9144,1,0,3.6,176,22,29,259,400.0,5047
9146,1,0,4.0,869,0,29,250,500.0,5047
9147,1,0,3.8,331,22,62,1156,350.0,5047
9148,1,0,3.8,33,42,69,1117,250.0,5047
9153,1,0,4.1,320,43,62,1156,600.0,5047
9156,0,0,3.8,110,0,62,1644,200.0,5047
9158,1,0,4.7,1022,44,17,431,550.0,5047
9159,1,0,4.3,3447,44,20,1156,600.0,5047
9160,1,0,4.2,522,44,62,1669,450.0,5047
9161,1,0,3.8,283,22,62,286,400.0,5047
9164,1,0,4.0,310,30,13,388,750.0,5047
9165,1,0,3.6,142,30,20,1554,750.0,5047
9166,1,0,3.8,41,44,62,832,400.0,5047
9169,1,1,3.8,1166,22,20,1057,600.0,5047
9171,1,0,4.2,421,3,20,604,700.0,5047
9173,1,0,3.5,177,0,62,203,500.0,5047
9174,1,0,3.9,226,38,29,1429,450.0,5047
9175,1,0,4.3,50,42,30,773,400.0,5047
9176,1,0,3.7,439,22,72,282,550.0,5047
9177,1,0,3.9,64,42,62,1072,300.0,5047
9178,1,0,3.8,74,41,20,700,750.0,5047
9181,1,1,4.2,3230,0,25,1156,1600.0,5047
9182,1,0,3.8,232,30,20,68,600.0,5047
9183,1,0,3.7,37,28,29,282,600.0,5047
9187,1,0,4.0,508,28,19,460,1000.0,5047
9190,1,1,3.8,256,3,20,73,800.0,5047
9192,1,1,4.4,4315,28,52,625,1600.0,5047
9193,1,0,4.5,2594,42,33,955,500.0,5047
9194,1,0,4.2,820,43,20,1156,1000.0,5047
9195,1,1,4.1,1318,22,20,1319,800.0,3838
9196,1,0,4.3,1101,22,13,419,700.0,5047
9197,1,0,4.3,2374,28,20,1156,800.0,5047
9198,1,1,4.0,1205,41,13,408,650.0,5047
9199,1,0,4.1,337,30,62,547,300.0,5047
9201,1,0,4.4,2859,42,13,337,600.0,5047
9203,1,0,4.3,721,42,62,817,400.0,5047
9204,1,0,3.5,239,42,20,1412,1000.0,5047
9208,1,1,4.2,293,42,20,1532,800.0,5047
9212,1,0,4.3,219,38,62,1075,300.0,5047
9213,1,0,4.2,307,0,29,1045,600.0,5047
9214,1,1,4.2,2616,42,20,514,1300.0,5047
9215,0,0,3.7,126,0,62,1156,200.0,5047
9217,1,0,4.8,186,42,30,767,400.0,5047
9218,1,1,4.4,2386,41,20,1083,1000.0,5047
9221,1,0,3.5,79,30,20,72,600.0,5047
9223,1,0,3.7,109,3,62,1084,600.0,5047
9224,1,0,3.0,66,42,20,197,700.0,5047
9225,1,0,3.9,386,28,62,1476,600.0,5047
9231,1,0,3.9,475,43,20,1459,600.0,5047
9232,1,1,4.1,624,0,21,141,1500.0,5047
9233,1,0,3.6,455,22,72,1196,400.0,5047
9236,1,1,4.4,2239,3,21,744,1200.0,5047
9239,1,1,4.5,1877,38,21,1430,1200.0,5047
9240,1,0,4.2,532,42,20,600,600.0,5047
9241,1,0,3.6,207,42,20,1050,500.0,5047
9242,1,1,4.5,3458,42,20,1400,1300.0,5047
9245,1,0,4.0,36,0,32,775,300.0,5047
9246,1,1,4.2,1031,28,21,614,1100.0,5047
9249,1,0,3.9,77,44,30,956,800.0,5047
9250,1,0,4.0,51,42,62,817,500.0,5047
9251,1,1,4.1,400,42,15,422,1200.0,2055
9254,1,0,2.5,321,28,62,1241,400.0,5047
9256,1,1,4.3,1258,30,22,922,800.0,5047
9257,1,0,3.8,171,3,62,1256,250.0,5047
9258,1,0,3.8,76,42,62,202,500.0,5047
9260,1,0,4.1,61,42,30,792,450.0,5047
9261,1,1,3.9,533,22,20,76,900.0,5047
9262,1,0,4.1,739,28,29,565,500.0,5047
9265,1,0,3.2,144,3,62,1218,350.0,5047
9266,1,1,4.2,239,28,22,349,600.0,5047
9267,1,1,4.1,1027,3,20,1156,1000.0,5047
9268,1,0,4.0,188,38,29,171,300.0,5047
9274,1,1,4.5,245,41,20,1008,1300.0,5047
9276,1,1,4.1,221,41,20,1156,1000.0,5047
9278,1,1,3.7,111,22,20,1196,800.0,5047
9281,1,1,3.8,202,30,57,536,1000.0,5047
9285,1,1,3.8,759,28,20,1156,600.0,5047
9289,1,1,3.8,584,30,20,1381,1200.0,5047
9290,1,0,3.9,135,30,62,866,350.0,5047
9291,1,0,4.1,3001,38,13,374,1000.0,5047
9292,1,0,3.9,88,0,62,967,1000.0,5047
9294,1,1,4.3,516,43,20,23,2500.0,5047
9295,1,1,3.9,402,22,20,1555,800.0,5047
9296,1,0,3.8,257,37,29,1196,300.0,5047
9297,1,0,3.8,46,28,62,1465,450.0,5047
9298,1,1,4.3,342,41,62,790,450.0,5047
9300,1,0,4.1,588,28,20,558,700.0,5047
9301,1,0,3.8,273,0,20,1310,900.0,5047
9305,1,0,3.2,908,42,20,1381,600.0,5047
9306,1,0,3.5,888,44,20,1375,650.0,5047
9308,1,0,3.8,57,44,20,1531,700.0,5047
9309,1,1,4.5,710,44,20,1009,1500.0,5047
9311,1,0,3.8,658,42,20,616,500.0,5047
9312,1,0,4.4,939,42,13,435,900.0,5047
9313,1,0,3.5,283,0,62,206,350.0,5047
9315,1,1,4.4,677,44,20,1381,1500.0,5047
9316,1,0,4.0,181,28,20,1214,550.0,5047
9318,1,1,4.4,1851,43,20,521,1100.0,5047
9319,1,0,4.1,841,43,20,1534,700.0,5047
9320,1,1,4.1,294,28,20,938,500.0,3244
9322,1,0,3.2,51,22,29,1196,600.0,5047
9323,1,0,4.3,372,22,20,30,700.0,5047
9324,1,1,4.1,1774,42,57,881,1200.0,5047
9325,1,0,3.1,248,22,20,521,500.0,5047
9326,1,0,3.9,1138,42,20,1352,500.0,5047
9328,1,0,3.8,254,0,20,521,550.0,5047
9334,1,1,4.1,442,30,60,692,1200.0,5047
9335,1,0,3.9,391,44,20,911,750.0,5047
9336,1,0,4.1,131,22,20,1156,650.0,5047
9337,1,0,4.2,161,22,62,235,300.0,5047
9338,1,0,3.7,69,0,29,83,400.0,5047
9339,1,0,3.9,46,22,66,650,300.0,5047
9340,1,0,3.7,51,3,62,1156,300.0,5047
9341,1,0,3.8,80,22,62,1465,800.0,5047
9343,1,0,3.9,455,43,20,521,1000.0,5047
9344,1,1,3.6,107,42,20,1196,900.0,5047
9345,1,0,3.8,264,44,20,1154,650.0,5047
9349,1,1,4.2,1365,44,21,123,1400.0,5047
9351,1,0,3.7,158,30,20,251,700.0,5047
9352,1,1,4.1,587,28,21,688,1200.0,5047
9354,1,0,3.8,117,0,20,1181,600.0,5047
9355,1,1,4.5,3125,42,21,1233,1500.0,5047
9357,1,1,4.4,3870,42,25,713,1600.0,5047
9358,0,0,3.9,204,0,20,283,550.0,5047
9361,1,0,4.3,62,42,30,1676,250.0,5047
9362,1,0,4.4,384,44,62,1584,300.0,5047
9363,1,1,4.4,3667,42,20,606,1400.0,5047
9365,1,0,2.7,85,28,13,496,500.0,5047
9366,1,1,4.3,1233,30,20,1343,1000.0,5047
9367,1,1,4.2,1905,30,13,423,800.0,5047
9369,0,0,3.8,87,0,62,817,250.0,5047
9374,1,1,3.9,597,41,4,899,1200.0,5047
9375,1,0,2.9,177,30,20,1211,700.0,5047
9376,1,0,3.8,146,28,20,521,600.0,5047
9378,1,1,4.2,1867,22,49,889,1500.0,5047
9379,1,0,4.1,601,0,62,1477,700.0,5047
9380,1,0,3.9,200,28,62,1087,400.0,5047
9382,1,0,4.0,233,30,62,1561,400.0,5047
9387,1,0,3.9,52,22,64,316,250.0,5047
9388,1,1,3.7,291,41,20,69,750.0,3505
9390,1,1,4.2,1617,41,20,1512,1500.0,5047
9393,1,1,4.4,191,40,13,332,1000.0,831
9394,1,0,3.4,301,22,72,287,400.0,3524
9395,1,1,4.1,252,41,20,1149,750.0,5047
9397,1,0,3.8,149,42,20,277,600.0,567
9398,1,1,4.4,383,42,21,1108,1500.0,5047
9401,1,0,3.7,72,30,20,1209,450.0,5047
9405,1,1,4.0,150,39,20,706,1100.0,1879
9406,1,1,4.1,1078,30,20,1196,1000.0,5047
9408,0,0,3.6,81,0,0,175,200.0,5047
9409,0,0,4.0,147,0,13,436,400.0,5047
9410,1,0,4.1,1003,42,20,1388,700.0,4422
9411,1,0,2.8,102,3,62,1196,350.0,5047
9416,1,1,4.4,455,44,21,1156,1500.0,4321
9417,1,0,3.4,34,44,20,1359,650.0,5047
9418,1,0,4.0,118,28,20,604,400.0,3058
9419,1,0,3.9,88,22,62,817,250.0,5047
9420,1,0,3.1,140,0,20,1182,600.0,1287
9421,1,1,3.9,143,30,20,1093,1000.0,1395
9422,1,1,4.3,2563,42,4,688,1200.0,4820
9423,1,1,3.9,160,22,24,1296,900.0,4838
9425,1,0,4.0,510,44,20,562,750.0,1468
9427,1,1,4.1,668,40,20,605,900.0,5047
9429,1,0,3.9,315,30,62,1639,300.0,642
9430,1,1,3.8,72,28,62,1496,400.0,5047
